d	h
19.0986	NA
15.2152	NA
8.4352	NA
7.3211	NA
17.7299	NA
15.1516	NA
14.8332	NA
18.462	NA
8.0532	NA
20.6901	NA
19.1623	NA
20.149	NA
14.3239	NA
15.9155	NA
17.507	NA
17.9845	NA
12.7642	NA
10.5997	NA
17.5707	NA
13.9738	NA
13.8465	NA
7.7031	NA
10.1541	NA
11.3955	NA
14.3239	NA
16.393	NA
12.5096	NA
12.4777	NA
9.5811	NA
7.9259	NA
3.7561	NA
9.04	NA
17.6662	NA
19.8625	NA
13.8783	NA
10.9499	NA
12.8916	NA
6.6527	NA
12.1913	NA
14.8332	NA
16.8386	NA
16.393	NA
10.4724	NA
12.987	NA
7.6076	NA
6.589	NA
19.767	NA
11.5228	NA
11.3955	NA
15.82	NA
9.613	NA
4.711	NA
8.7854	NA
13.5282	NA
17.3161	NA
15.4062	NA
7.0028	NA
10.8225	NA
12.8916	NA
13.0825	NA
12.3823	NA
17.889	NA
8.9763	NA
18.653	NA
10.0904	NA
17.6662	NA
9.613	NA
18.653	NA
19.2896	NA
14.1648	NA
15.3425	NA
15.2789	NA
18.3028	NA
11.3637	NA
13.4008	NA
11.7775	NA
15.0561	NA
12.1913	NA
6.3025	NA
7.6394	NA
21.1676	NA
16.5521	NA
20.6583	NA
14.8332	NA
16.7431	NA
10.727	NA
10.918	NA
3.8834	NA
14.133	NA
13.5918	NA
18.7166	NA
4.9656	NA
14.5149	NA
19.2896	NA
18.7803	NA
10.5042	NA
11.3	NA
16.7749	NA
10.0268	NA
12.1913	NA
14.1966	NA
9.8676	NA
19.3532	NA
16.4248	NA
9.8039	NA
19.9899	NA
14.0375	NA
20.4992	NA
17.0296	NA
17.3479	NA
10.1223	NA
9.6448	NA
11.6183	NA
14.8651	NA
16.4885	NA
17.0932	NA
5.3476	NA
12.5414	NA
12.0639	NA
10.0586	NA
15.9792	NA
21.4859	NA
4.6473	NA
21.0403	NA
9.3265	NA
21.1358	NA
15.247	NA
22.982	NA
10.3451	NA
14.133	NA
8.658	NA
18.1118	NA
19.4487	NA
13.8465	NA
17.2524	NA
11.3637	NA
19.0349	NA
13.9738	NA
15.2789	NA
12.0003	NA
20.1172	NA
3.8515	NA
17.2842	NA
18.5256	NA
9.8676	NA
19.4806	NA
13.4963	NA
16.2975	NA
17.889	NA
17.7935	NA
12.5096	NA
14.2285	NA
14.7059	NA
15.5017	NA
10.1223	NA
15.6608	NA
15.6927	NA
2.2918	NA
14.3876	NA
15.2152	NA
12.5732	NA
21.1039	NA
17.1251	NA
17.1251	NA
12.5732	NA
14.0375	NA
20.5628	NA
5.6977	NA
14.8332	NA
10.1223	NA
16.1383	NA
5.8569	NA
17.0932	NA
19.8307	NA
15.4699	NA
15.3425	NA
3.1831	NA
17.4434	NA
11.2363	NA
6.1115	NA
14.4831	NA
10.1541	NA
5.5704	NA
21.2631	NA
11.109	NA
16.8704	NA
21.2313	NA
17.698	NA
18.9394	NA
15.0242	NA
10.2177	NA
6.207	NA
12.3186	NA
22.2499	NA
17.1251	NA
18.653	NA
13.4327	NA
7.353	NA
17.1569	NA
7.5439	NA
18.9713	NA
7.8941	NA
17.3797	NA
11.3318	NA
17.3479	NA
13.4645	NA
10.5361	NA
20.149	NA
14.1966	NA
18.1437	NA
10.4087	NA
15.3425	NA
11.873	NA
22.3135	NA
19.8307	NA
15.7882	NA
16.2338	NA
3.0239	NA
7.6076	NA
13.4963	NA
14.6423	NA
6.3025	NA
10.6952	NA
4.5837	NA
13.0189	NA
12.8916	NA
7.8304	NA
10.727	NA
8.6262	NA
10.1859	NA
9.1673	NA
14.5786	NA
10.9499	NA
10.727	NA
9.7721	NA
10.2814	NA
8.1169	NA
16.4885	NA
7.4166	NA
10.6316	NA
8.2761	NA
6.207	NA
7.3211	NA
11.2682	NA
16.0746	NA
16.9977	NA
17.889	NA
1.9417	NA
3.947	NA
15.1834	NA
18.9713	NA
17.1887	NA
16.1701	NA
17.9527	NA
15.3107	NA
17.9845	NA
14.4831	NA
11.5865	NA
12.2868	NA
10.3132	NA
9.6766	NA
17.2524	NA
19.8944	NA
12.1594	NA
16.0428	NA
17.6344	NA
16.8068	NA
16.4248	NA
13.9738	NA
6.3025	NA
17.1251	NA
7.7031	NA
12.8597	NA
8.7854	NA
19.4806	NA
19.2259	NA
9.04	NA
13.56	NA
10.1541	NA
